cell,ACTC1.L,CD44.L,CDH1.S,CDX4.L,CHRD.1.S,DLX2.L,DLX3.L,EGR2.L,ELAVL3.L,EPHA2.L,EPHA4.L,EYA1.L,FOXC2.L,GATA2.L,GBX2.2.L,HNF1B.L,HOXA3.S,HOXC10.L,HOXD3.L,KRT12.4.L,MAFB.S,MSX1.L,MSX2.L,MYL1.L,MYOD1.S,NOG.L,OLIG4.L,OTX2.S,PAX3.S,PAX6.S,PAX7.L,PITX1.L,RAX.L,SIX1.L,SNAI1.S,SNAI2.L,SOX10.L,SOX17A.S,SOX2.L,SOX3.S,SOX8.L,SOX9.S,TFAP2A.L,TFAP2C.L,TP63.L,VENTX2.1.L,TBXT.S,ZIC1.S,OLIG3.S,EYA2.S,HOXB6.S,HOXB9.S,HOXC9.S,HOXD11.L
2685806100125100042,297,4,0,0,12,0,0,0,0,1,0,6,0,1,0,0,3,0,0,1,17,0,0,185,27,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0
2685806100125100043,59,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,34,14,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
2685806100125100044,166,6,0,1,11,0,0,0,0,2,1,2,2,0,0,0,5,0,0,1,2,0,0,116,31,0,1,0,0,0,0,0,0,5,5,0,0,1,0,0,0,1,0,1,0,0,0,2,0,2,0,0,1,0
2685806100125100045,62,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,33,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2685806100125100046,2,0,37,0,0,0,1,0,0,4,0,0,1,2,0,0,1,0,0,23,0,4,0,2,0,0,0,0,1,1,0,0,0,1,8,0,0,0,0,0,0,0,4,8,7,0,0,0,0,1,1,0,0,0
2685806100125100047,172,12,1,0,2,0,4,0,0,4,0,2,4,0,0,1,2,1,0,2,6,0,0,166,64,0,1,0,1,1,0,1,0,7,4,0,0,1,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0
2685806100125100048,130,4,0,0,2,0,1,0,0,0,2,0,2,0,0,1,2,0,0,1,15,0,0,63,19,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2685806100125100049,48,0,3,0,2,0,2,0,0,5,1,10,2,0,0,0,3,1,0,15,1,1,2,19,3,0,0,1,6,0,3,0,0,14,6,0,0,0,1,0,1,1,0,1,3,1,0,10,0,2,4,1,0,0
2685806100125100050,201,15,0,0,7,0,0,0,0,7,0,4,8,1,0,0,6,1,0,1,4,0,0,111,56,0,1,0,0,0,0,0,0,7,3,1,0,0,0,0,0,0,0,2,0,1,0,2,0,3,1,0,3,2
2685806100125100051,125,7,0,0,1,0,0,0,1,9,1,1,4,1,0,0,1,0,0,0,4,0,0,103,65,0,1,0,0,0,0,0,0,1,6,0,1,0,0,0,1,0,1,0,0,0,0,3,0,1,0,0,0,0
2685806100125100052,470,23,0,2,45,0,1,1,1,2,5,0,5,1,0,1,6,0,0,0,30,1,0,285,69,0,2,0,1,0,0,0,0,7,5,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1
2685806100125100053,146,1,0,0,4,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,75,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,1
2685806100125100054,139,6,0,0,7,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,5,0,0,81,27,0,0,0,1,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1
2685806100125100055,101,0,0,0,2,0,0,0,0,1,1,1,2,0,0,0,1,0,0,2,1,0,0,51,23,0,0,0,0,0,0,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,2,2,1,0
2685806100125100056,368,8,1,1,20,0,0,0,0,0,0,0,3,0,0,0,1,0,0,3,12,1,1,197,18,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2685806100125100057,4,0,13,0,0,0,8,1,0,4,0,2,0,12,2,0,2,0,1,174,0,4,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,0,0,0,0,0,1,0,0,0,0
2685806100125100058,206,8,1,0,7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,96,27,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,1,0
2685806100125100059,16,1,39,0,1,0,13,0,0,6,1,3,2,2,0,0,8,0,1,115,1,1,2,8,5,1,1,1,0,0,0,0,0,2,11,1,0,0,0,3,1,0,7,8,10,0,0,9,0,7,0,0,0,1
2685806100125100060,74,1,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,0,0,48,11,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,7,0,0,0,0,0,0
2685806100125100061,174,12,1,0,8,0,0,0,0,6,0,1,5,1,0,0,4,0,0,0,13,0,1,130,54,0,1,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,1,0,1,0,10,0,4,0,0,0,0
2685806100125100062,81,0,1,0,4,0,0,0,0,5,0,3,4,0,0,0,0,0,0,0,6,0,3,67,24,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0
2685806100125100063,279,17,0,0,33,0,1,0,0,4,2,0,0,1,0,0,2,0,0,0,8,0,0,196,44,0,0,0,0,0,1,2,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,1
2685806100125100064,1,0,26,0,0,0,6,0,0,5,0,0,0,5,2,0,3,1,0,164,1,7,0,3,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,3,0,0,7,26,3,3,0,0,1,2,0,0,1,0
2685806100125100065,177,12,0,2,11,0,2,0,0,6,3,1,9,0,1,0,7,0,0,0,2,0,2,162,54,0,0,0,0,0,1,1,1,7,4,0,0,0,0,0,0,0,0,1,1,0,0,11,0,7,0,0,0,0
2685806100125100066,100,14,1,1,5,0,0,0,1,8,1,1,2,0,0,0,2,0,0,1,5,0,0,61,19,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,1,0,0,1,0,0,13,0,0,0,0,1,0
2685806100125100067,243,1,0,0,9,0,0,0,0,3,0,2,9,0,0,0,4,0,0,2,7,0,0,117,73,0,0,0,0,0,0,0,0,10,2,0,0,0,1,0,0,0,1,4,0,0,0,20,0,7,3,0,0,0
2685806100125100068,453,21,0,0,25,0,2,1,0,2,5,7,1,0,0,1,3,0,1,3,36,0,0,269,74,1,1,1,1,0,1,1,0,18,2,0,1,0,2,0,0,1,0,0,1,0,0,0,0,4,0,0,0,1
